Bundesland;Neuzulassungen_gesamt;Alternativ_gesamt;Elektro_gesamt;BEV;Plug_in_Hybrid;Datum
Baden-Württemberg;28418,0;16754,0;8320,0;5265,0;3055,0;2025-01-01
Bayern;41301,0;22925,0;10164,0;6848,0;3315,0;2025-01-01
Berlin;5349,0;3214,0;1411,0;882,0;529,0;2025-01-01
Brandenburg;3698,0;1972,0;803,0;529,0;274,0;2025-01-01
Bremen;1316,0;802,0;405,0;244,0;161,0;2025-01-01
Hamburg;5568,0;3348,0;1513,0;926,0;587,0;2025-01-01
Hessen;21781,0;11712,0;5142,0;3308,0;1834,0;2025-01-01
Mecklenburg-Vorpommern;2119,0;943,0;373,0;259,0;114,0;2025-01-01
Niedersachsen;22940,0;10806,0;6031,0;4560,0;1471,0;2025-01-01
Nordrhein-Westfalen;46544,0;25429,0;11728,0;7481,0;4246,0;2025-01-01
Rheinland-Pfalz;8129,0;4371,0;2083,0;1435,0;648,0;2025-01-01
Saarland;2128,0;1114,0;422,0;267,0;155,0;2025-01-01
Sachsen;6541,0;3192,0;1140,0;724,0;416,0;2025-01-01
Sachsen-Anhalt;2784,0;1255,0;491,0;318,0;173,0;2025-01-01
Schleswig-Holstein;5480,0;2842,0;1488,0;987,0;501,0;2025-01-01
Thüringen;3467,0;1599,0;663,0;441,0;222,0;2025-01-01
Baden-Württemberg;29909,0;18599,0;9950,0;5968,0;3981,0;2025-02-01
Bayern;42095,0;23840,0;11442,0;7524,0;3918,0;2025-02-01
Berlin;3988,0;2536,0;1298,0;863,0;435,0;2025-02-01
Brandenburg;3376,0;1780,0;755,0;502,0;253,0;2025-02-01
Bremen;1279,0;762,0;442,0;262,0;180,0;2025-02-01
Hamburg;5384,0;3114,0;1352,0;778,0;574,0;2025-02-01
Hessen;24450,0;14073,0;6013,0;4047,0;1965,0;2025-02-01
Mecklenburg-Vorpommern;1884,0;930,0;362,0;237,0;125,0;2025-02-01
Niedersachsen;22351,0;11123,0;6690,0;4849,0;1841,0;2025-02-01
Nordrhein-Westfalen;41520,0;23413,0;10925,0;6913,0;4012,0;2025-02-01
Rheinland-Pfalz;7776,0;4343,0;2102,0;1363,0;739,0;2025-02-01
Saarland;2049,0;1126,0;446,0;266,0;179,0;2025-02-01
Sachsen;5773,0;2891,0;1076,0;675,0;401,0;2025-02-01
Sachsen-Anhalt;3113,0;1471,0;493,0;310,0;183,0;2025-02-01
Schleswig-Holstein;5025,0;2759,0;1487,0;967,0;520,0;2025-02-01
Thüringen;3300,0;1579,0;603,0;404,0;199,0;2025-02-01
Baden-Württemberg;36086,0;22879,0;11981,0;7231,0;4750,0;2025-03-01
Bayern;54895,0;30662,0;13068,0;8110,0;4957,0;2025-03-01
Berlin;4881,0;3249,0;1574,0;1057,0;517,0;2025-03-01
Brandenburg;4802,0;2619,0;1101,0;693,0;408,0;2025-03-01
Bremen;1423,0;866,0;479,0;271,0;208,0;2025-03-01
Hamburg;9116,0;4394,0;1572,0;899,0;673,0;2025-03-01
Hessen;27340,0;15812,0;6858,0;4211,0;2646,0;2025-03-01
Mecklenburg-Vorpommern;2526,0;1269,0;489,0;294,0;195,0;2025-03-01
Niedersachsen;26926,0;14375,0;8373,0;5464,0;2908,0;2025-03-01
Nordrhein-Westfalen;49856,0;29368,0;14628,0;8785,0;5843,0;2025-03-01
Rheinland-Pfalz;9747,0;5669,0;2934,0;1747,0;1187,0;2025-03-01
Saarland;2583,0;1545,0;639,0;319,0;320,0;2025-03-01
Sachsen;8534,0;4694,0;1824,0;1181,0;643,0;2025-03-01
Sachsen-Anhalt;3870,0;2105,0;861,0;574,0;287,0;2025-03-01
Schleswig-Holstein;6354,0;3474,0;1882,0;1214,0;668,0;2025-03-01
Thüringen;4481,0;2154,0;779,0;452,0;327,0;2025-03-01
Baden-Württemberg;33554,0;21155,0;11368,0;6968,0;4399,0;2025-04-01
Bayern;55459,0;31078,0;14210,0;9692,0;4517,0;2025-04-01
Berlin;5579,0;3530,0;1758,0;1144,0;612,0;2025-04-01
Brandenburg;3938,0;2270,0;1010,0;680,0;330,0;2025-04-01
Bremen;1159,0;685,0;347,0;211,0;136,0;2025-04-01
Hamburg;8238,0;4355,0;2016,0;958,0;1058,0;2025-04-01
Hessen;28012,0;16000,0;7352,0;4708,0;2643,0;2025-04-01
Mecklenburg-Vorpommern;2304,0;1151,0;482,0;303,0;179,0;2025-04-01
Niedersachsen;25669,0;13872,0;8799,0;5878,0;2921,0;2025-04-01
Nordrhein-Westfalen;45495,0;26327,0;14000,0;9304,0;4695,0;2025-04-01
Rheinland-Pfalz;9175,0;5247,0;2640,0;1753,0;887,0;2025-04-01
Saarland;2500,0;1416,0;597,0;371,0;226,0;2025-04-01
Sachsen;7540,0;3783,0;1649,0;1050,0;599,0;2025-04-01
Sachsen-Anhalt;4145,0;2135,0;989,0;722,0;267,0;2025-04-01
Schleswig-Holstein;5923,0;3267,0;1798,0;1284,0;514,0;2025-04-01
Thüringen;3938,0;1898,0;781,0;480,0;301,0;2025-04-01
Baden-Württemberg;33136,0;20933,0;10722,0;6430,0;4291,0;2025-05-01
Bayern;52860,0;29957,0;13472,0;9124,0;4347,0;2025-05-01
Berlin;4850,0;3020,0;1389,0;796,0;593,0;2025-05-01
Brandenburg;3979,0;2220,0;1007,0;670,0;337,0;2025-05-01
Bremen;1343,0;836,0;427,0;231,0;196,0;2025-05-01
